"ContactID","ContactType","CompanyName","ContactName","ContactTitle","Address","City","Region","PostalCode","Country","Phone","Extension","Fax","HomePage","PhotoPath","Photo"
35,Customer,HILARION-Abastos,Carlos Hernández,Sales Representative,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,"5022",Venezuela,(5) 555-1340,,(5) 555-1948,,,
36,Customer,Hungry Coyote Import Store,Yoshi Latimer,Sales Representative,City Center Plaza 516 Main St.,Elgin,OR,"97827",USA,(503) 555-6874,,(503) 555-2376,,,
37,Customer,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,"8 Johnstown Road",Cork,Co. Cork,,Ireland,"2967 542",,"2967 3333",,,
38,Customer,Island Trading,Helen Bennett,Marketing Manager,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK,(198) 555-8888,,,,,
39,Customer,Königlich Essen,Philip Cramer,Sales Associate,Maubelstr. 90,Brandenburg,,"14776",Germany,"0555-09876",,,,,
40,Customer,La corne d'abondance,Daniel Tonini,Sales Representative,"67, avenue de l'Europe",Versailles,,"78000",France,"30.59.84.10",,"30.59.85.11",,,
41,Customer,La maison d'Asie,Annette Roulet,Sales Manager,"1 rue Alsace-Lorraine",Toulouse,,"31000",France,"61.77.61.10",,"61.77.61.11",,,
42,Customer,Laughing Bacchus Wine Cellars,Yoshi Tannamuri,Marketing Assistant,"1900 Oak St.",Vancouver,BC,V3F 2K1,Canada,(604) 555-3392,,(604) 555-7293,,,
43,Customer,Lazy K Kountry Store,John Steel,Marketing Manager,"12 Orchestra Terrace",Walla Walla,WA,"99362",USA,(509) 555-7969,,(509) 555-6221,,,
44,Customer,Lehmanns Marktstand,Renate Messner,Sales Representative,Magazinweg 7,Frankfurt a.M.,,"60528",Germany,"069-0245984",,"069-0245874",,,
45,Customer,Let's Stop N Shop,Jaime Yorres,Owner,"87 Polk St. Suite 5",San Francisco,CA,"94117",USA,(415) 555-5938,,,,,
46,Customer,LILA-Supermercado,Carlos González,Accounting Manager,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,"3508",Venezuela,(9) 331-6954,,(9) 331-7256,,,
47,Customer,LINO-Delicateses,Felipe Izquierdo,Owner,Ave. 5 de Mayo Porlamar,I. de Margarita,Nueva Esparta,"4980",Venezuela,(8) 34-56-12,,(8) 34-93-93,,,
48,Customer,Lonesome Pine Restaurant,Fran Wilson,Sales Manager,"89 Chiaroscuro Rd.",Portland,OR,"97219",USA,(503) 555-9573,,(503) 555-9646,,,
49,Customer,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager,Via Ludovico il Moro 22,Bergamo,,"24100",Italy,"035-640230",,"035-640231",,,
50,Customer,Maison Dewey,Catherine Dewey,Sales Agent,Rue Joseph-Bens 532,Bruxelles,,B-1180,Belgium,(02) 201 24 67,,(02) 201 24 68,,,
51,Customer,Mère Paillarde,Jean Fresnière,Marketing Assistant,"43 rue St. Laurent",Montréal,Québec,H1J 1C3,Canada,(514) 555-8054,,(514) 555-8055,,,
52,Customer,Morgenstern Gesundkost,Alexander Feuer,Marketing Assistant,Heerstr. 22,Leipzig,,"04179",Germany,"0342-023176",,,,,
53,Customer,North/South,Simon Crowther,Sales Associate,South House 300 Queensbridge,London,,SW7 1RZ,UK,(171) 555-7733,,(171) 555-2530,,,
54,Customer,Océano Atlántico Ltda.,Yvonne Moncada,Sales Agent,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires,,"1010",Argentina,(1) 135-5333,,(1) 135-5535,,,
55,Customer,Old World Delicatessen,Rene Phillips,Sales Representative,"2743 Bering St.",Anchorage,AK,"99508",USA,(907) 555-7584,,(907) 555-2880,,,
56,Customer,Ottilies Käseladen,Henriette Pfalzheim,Owner,Mehrheimerstr. 369,Köln,,"50739",Germany,"0221-0644327",,"0221-0765721",,,
57,Customer,Paris spécialités,Marie Bertrand,Owner,"265, boulevard Charonne",Paris,,"75012",France,(1) 42.34.22.66,,(1) 42.34.22.77,,,
58,Customer,Pericles Comidas clásicas,Guillermo Fernández,Sales Representative,Calle Dr. Jorge Cash 321,México D.F.,,"05033",Mexico,(5) 552-3745,,(5) 545-3745,,,
59,Customer,Piccolo und mehr,Georg Pipps,Sales Manager,Geislweg 14,Salzburg,,"5020",Austria,"6562-9722",,"6562-9723",,,
60,Customer,Princesa Isabel Vinhos,Isabel de Castro,Sales Representative,Estrada da saúde n. 58,Lisboa,,"1756",Portugal,(1) 356-5634,,,,,
61,Customer,Que Delícia,Bernardo Batista,Accounting Manager,"Rua da Panificadora, 12",Rio de Janeiro,RJ,"02389-673",Brazil,(21) 555-4252,,(21) 555-4545,,,
62,Customer,Queen Cozinha,Lúcia Carvalho,Marketing Assistant,"Alameda dos Canàrios, 891",Sao Paulo,SP,"05487-020",Brazil,(11) 555-1189,,,,,
63,Customer,QUICK-Stop,Horst Kloss,Accounting Manager,Taucherstraße 10,Cunewalde,,"01307",Germany,"0372-035188",,,,,
64,Customer,Rancho grande,Sergio Gutiérrez,Sales Representative,Av. del Libertador 900,Buenos Aires,,"1010",Argentina,(1) 123-5555,,(1) 123-5556,,,
65,Customer,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,"2817 Milton Dr.",Albuquerque,NM,"87110",USA,(505) 555-5939,,(505) 555-3620,,,
66,Customer,Reggiani Caseifici,Maurizio Moroni,Sales Associate,Strada Provinciale 124,Reggio Emilia,,"42100",Italy,"0522-556721",,"0522-556722",,,
67,Customer,Ricardo Adocicados,Janete Limeira,Assistant Sales Agent,"Av. Copacabana, 267",Rio de Janeiro,RJ,"02389-890",Brazil,(21) 555-3412,,,,,
68,Customer,Richter Supermarkt,Michael Holz,Sales Manager,Grenzacherweg 237,Genève,,"1203",Switzerland,"0897-034214",,,,,
69,Customer,Romero y tomillo,Alejandra Camino,Accounting Manager,"Gran Vía, 1",Madrid,,"28001",Spain,(91) 745 6200,,(91) 745 6210,,,
70,Customer,Santé Gourmet,Jonas Bergulfsen,Owner,Erling Skakkes gate 78,Stavern,,"4110",Norway,"07-98 92 35",,"07-98 92 47",,,
71,Customer,Save-a-lot Markets,Jose Pavarotti,Sales Representative,"187 Suffolk Ln.",Boise,ID,"83720",USA,(208) 555-8097,,,,,
72,Customer,Seven Seas Imports,Hari Kumar,Sales Manager,"90 Wadhurst Rd.",London,,OX15 4NB,UK,(171) 555-1717,,(171) 555-5646,,,
73,Customer,Simons bistro,Jytte Petersen,Owner,Vinbæltet 34,Kobenhavn,,"1734",Denmark,"31 12 34 56",,"31 13 35 57",,,
74,Customer,Spécialités du monde,Dominique Perrier,Marketing Manager,"25, rue Lauriston",Paris,,"75016",France,(1) 47.55.60.10,,(1) 47.55.60.20,,,
75,Customer,Split Rail Beer & Ale,Art Braunschweiger,Sales Manager,P.O. Box 555,Lander,WY,"82520",USA,(307) 555-4680,,(307) 555-6525,,,
76,Customer,Suprêmes délices,Pascale Cartrain,Accounting Manager,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,(071) 23 67 22 20,,(071) 23 67 22 21,,,
77,Customer,The Big Cheese,Liz Nixon,Marketing Manager,"89 Jefferson Way Suite 2",Portland,OR,"97201",USA,(503) 555-3612,,,,,
78,Customer,The Cracker Box,Liu Wong,Marketing Assistant,"55 Grizzly Peak Rd.",Butte,MT,"59801",USA,(406) 555-5834,,(406) 555-8083,,,
79,Customer,Toms Spezialitäten,Karin Josephs,Marketing Manager,Luisenstr. 48,Münster,,"44087",Germany,"0251-031259",,"0251-035695",,,
80,Customer,Tortuga Restaurante,Miguel Angel Paolino,Owner,Avda. Azteca 123,México D.F.,,"05033",Mexico,(5) 555-2933,,,,,
81,Customer,Tradição Hipermercados,Anabela Domingues,Sales Representative,"Av. Inês de Castro, 414",Sao Paulo,SP,"05634-030",Brazil,(11) 555-2167,,(11) 555-2168,,,
82,Customer,Trail's Head Gourmet Provisioners,Helvetius Nagy,Sales Associate,"722 DaVinci Blvd.",Kirkland,WA,"98034",USA,(206) 555-8257,,(206) 555-2174,,,
83,Customer,Vaffeljernet,Palle Ibsen,Sales Manager,Smagsloget 45,Århus,,"8200",Denmark,"86 21 32 43",,"86 22 33 44",,,
84,Customer,Victuailles en stock,Mary Saveley,Sales Agent,"2, rue du Commerce",Lyon,,"69004",France,"78.32.54.86",,"78.32.54.87",,,
85,Customer,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,"59 rue de l'Abbaye",Reims,,"51100",France,"26.47.15.10",,"26.47.15.11",,,
86,Customer,Die Wandernde Kuh,Rita Müller,Sales Representative,Adenauerallee 900,Stuttgart,,"70563",Germany,"0711-020361",,"0711-035428",,,
87,Customer,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Torikatu 38,Oulu,,"90110",Finland,"981-443655",,"981-443655",,,
88,Customer,Wellington Importadora,Paula Parente,Sales Manager,"Rua do Mercado, 12",Resende,SP,"08737-363",Brazil,(14) 555-8122,,,,,
89,Customer,White Clover Markets,Karl Jablonski,Owner,"305 - 14th Ave. S. Suite 3B",Seattle,WA,"98128",USA,(206) 555-4112,,(206) 555-4115,,,
90,Customer,Wilman Kala,Matti Karttunen,Owner/Marketing Assistant,Keskuskatu 45,Helsinki,,"21240",Finland,"90-224 8858",,"90-224 8858",,,
91,Customer,Wolski  Zajazd,Zbyszek Piestrzeniewicz,Owner,ul. Filtrowa 68,Warszawa,,"01-012",Poland,(26) 642-7012,,(26) 642-7012,,,
92,Supplier,Exotic Liquids,Charlotte Cooper,Purchasing Manager,"49 Gilbert St.",London,,EC1 4SD,UK,(171) 555-2222,,,,,
93,Supplier,New Orleans Cajun Delights,Shelley Burke,Order Administrator,P.O. Box 78934,New Orleans,LA,"70117",USA,(100) 555-4822,,,#CAJUN.HTM#,,
94,Supplier,Grandma Kelly's Homestead,Regina Murphy,Sales Representative,"707 Oxford Rd.",Ann Arbor,MI,"48104",USA,(313) 555-5735,,(313) 555-3349,,,
95,Supplier,Tokyo Traders,Yoshi Nagase,Marketing Manager,"9-8 Sekimai Musashino-shi",Tokyo,,"100",Japan,(03) 3555-5011,,,,,
96,Supplier,Cooperativa de Quesos 'Las Cabras',Antonio del Valle Saavedra,Export Administrator,Calle del Rosal 4,Oviedo,Asturias,"33007",Spain,(98) 598 76 54,,,,,
97,Supplier,Mayumi's,Mayumi Ohno,Marketing Representative,"92 Setsuko Chuo-ku",Osaka,,"545",Japan,(06) 431-7877,,,Mayumi's (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/mayumi.htm#,,
98,Supplier,"Pavlova, Ltd.",Ian Devling,Marketing Manager,"74 Rose St. Moonie Ponds",Melbourne,Victoria,"3058",Australia,(03) 444-2343,,(03) 444-6588,,,
99,Supplier,"Specialty Biscuits, Ltd.",Peter Wilson,Sales Representative,"29 King's Way",Manchester,,M14 GSD,UK,(161) 555-4448,,,,,
100,Supplier,PB Knäckebröd AB,Lars Peterson,Sales Agent,Kaloadagatan 13,Göteborg,,S-345 67,Sweden,"031-987 65 43",,"031-987 65 91",,,
101,Supplier,Refrescos Americanas LTDA,Carlos Diaz,Marketing Manager,Av. das Americanas 12.890,Sao Paulo,,"5442",Brazil,(11) 555 4640,,,,,
102,Supplier,Heli Süßwaren GmbH & Co. KG,Petra Winkler,Sales Manager,Tiergartenstraße 5,Berlin,,"10785",Germany,(010) 9984510,,,,,
103,Supplier,Plutzer Lebensmittelgroßmärkte AG,Martin Bein,International Marketing Mgr.,Bogenallee 51,Frankfurt,,"60439",Germany,(069) 992755,,,Plutzer (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/plutzer.htm#,,
104,Supplier,Nord-Ost-Fisch Handelsgesellschaft mbH,Sven Petersen,Coordinator Foreign Markets,Frahmredder 112a,Cuxhaven,,"27478",Germany,(04721) 8713,,(04721) 8714,,,
105,Supplier,Formaggi Fortini s.r.l.,Elio Rossi,Sales Representative,"Viale Dante, 75",Ravenna,,"48100",Italy,(0544) 60323,,(0544) 60603,#FORMAGGI.HTM#,,
106,Supplier,Norske Meierier,Beate Vileid,Marketing Manager,Hatlevegen 5,Sandvika,,"1320",Norway,(0)2-953010,,,,,
107,Supplier,Bigfoot Breweries,Cheryl Saylor,Regional Account Rep.,"3400 - 8th Avenue Suite 210",Bend,OR,"97101",USA,(503) 555-9931,,,,,
108,Supplier,Svensk Sjöföda AB,Michael Björn,Sales Representative,Brovallavägen 231,Stockholm,,S-123 45,Sweden,"08-123 45 67",,,,,
109,Supplier,Aux joyeux ecclésiastiques,Guylène Nodier,Sales Manager,"203, Rue des Francs-Bourgeois",Paris,,"75004",France,(1) 03.83.00.68,,(1) 03.83.00.62,,,
110,Supplier,New England Seafood Cannery,Robb Merchant,Wholesale Account Agent,Order Processing Dept. 2100 Paul Revere Blvd.,Boston,MA,"02134",USA,(617) 555-3267,,(617) 555-3389,,,
111,Supplier,Leka Trading,Chandra Leka,Owner,"471 Serangoon Loop, Suite #402",Singapore,,"0512",Singapore,"555-8787",,,,,
112,Supplier,Lyngbysild,Niels Petersen,Sales Manager,Lyngbysild Fiskebakken 10,Lyngby,,"2800",Denmark,"43844108",,"43844115",,,
113,Supplier,Zaanse Snoepfabriek,Dirk Luchte,Accounting Manager,Verkoop Rijnweg 22,Zaandam,,"9999 ZZ",Netherlands,(12345) 1212,,(12345) 1210,,,
114,Supplier,Karkki Oy,Anne Heikkonen,Product Manager,Valtakatu 12,Lappeenranta,,"53120",Finland,(953) 10956,,,,,
115,Supplier,"G'day, Mate",Wendy Mackenzie,Sales Representative,"170 Prince Edward Parade Hunter's Hill",Sydney,NSW,"2042",Australia,(02) 555-5914,,(02) 555-4873,G'day Mate (on the World Wide Web)#http://www.microsoft.com/accessdev/sampleapps/gdaymate.htm#,,
116,Supplier,Ma Maison,Jean-Guy Lauzon,Marketing Manager,"2960 Rue St. Laurent",Montréal,Québec,H1J 1C3,Canada,(514) 555-9022,,,,,
117,Supplier,Pasta Buttini s.r.l.,Giovanni Giudici,Order Administrator,"Via dei Gelsomini, 153",Salerno,,"84100",Italy,(089) 6547665,,(089) 6547667,,,
118,Supplier,Escargots Nouveaux,Marie Delamare,Sales Manager,"22, rue H. Voiron",Montceau,,"71300",France,"85.57.00.07",,,,,
119,Supplier,Gai pâturage,Eliane Noz,Sales Representative,"Bat. B 3, rue des Alpes",Annecy,,"74000",France,"38.76.98.06",,"38.76.98.58",,,
120,Supplier,Forêts d'érables,Chantal Goulet,Accounting Manager,"148 rue Chasseur",Ste-Hyacinthe,Québec,J2S 7S8,Canada,(514) 555-2955,,(514) 555-2921,,,
121,Employee,Northwind,Ms. Nancy Davolio,Sales Representative,"507 - 20th Ave. E.
Apt. 2A",Seattle,WA,"98122",USA,(206) 555-9857,"5467",,,http://accweb/emmployees/davolio.bmp,
122,Employee,Northwind,Dr. Andrew Fuller,"Vice President, Sales","908 W. Capital Way",Tacoma,WA,"98401",USA,(206) 555-9482,"3457",,,http://accweb/emmployees/fuller.bmp,
123,Employee,Northwind,Ms. Janet Leverling,Sales Representative,"722 Moss Bay Blvd.",Kirkland,WA,"98033",USA,(206) 555-3412,"3355",,,http://accweb/emmployees/leverling.bmp,
124,Employee,Northwind,Mrs. Margaret Peacock,Sales Representative,"4110 Old Redmond Rd.",Redmond,WA,"98052",USA,(206) 555-8122,"5176",,,http://accweb/emmployees/peacock.bmp,
125,Employee,Northwind,Mr. Steven Buchanan,Sales Manager,"14 Garrett Hill",London,,SW1 8JR,UK,(71) 555-4848,"3453",,,http://accweb/emmployees/buchanan.bmp,
126,Employee,Northwind,Mr. Michael Suyama,Sales Representative,"Coventry House
Miner Rd.",London,,EC2 7JR,UK,(71) 555-7773,"428",,,http://accweb/emmployees/davolio.bmp,
127,Employee,Northwind,Mr. Robert King,Sales Representative,"Edgeham Hollow
Winchester Way",London,,RG1 9SP,UK,(71) 555-5598,"465",,,http://accweb/emmployees/davolio.bmp,
128,Employee,Northwind,Ms. Laura Callahan,Inside Sales Coordinator,"4726 - 11th Ave. N.E.",Seattle,WA,"98105",USA,(206) 555-1189,"2344",,,http://accweb/emmployees/davolio.bmp,
129,Employee,Northwind,Ms. Anne Dodsworth,Sales Representative,"7 Houndstooth Rd.",London,,WG2 7LT,UK,(71) 555-4444,"452",,,http://accweb/emmployees/davolio.bmp,
130,Shipper,Speedy Express,,,,,,,,(503) 555-9831,,,,,
131,Shipper,United Package,,,,,,,,(503) 555-3199,,,,,
132,Shipper,Federal Shipping,,,,,,,,(503) 555-9931,,,,,
133,,Unknown,,,,Unknown,,,,"123-456-7880",,,,,
